X.,Name,Type.1,Type.2,Total,HP,Attack,Defense,Sp..Atk,Sp..Def,Speed,Generation,Special,Tier
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,F,B
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,F,B
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,F,B
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,F,B
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,F,B
142,Mega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,T,B
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,F,B
160,Feraligatr,Water,,530,85,105,100,79,83,78,2,F,B
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,F,B
181,Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,T,B
196,Espeon,Psychic,,525,65,65,60,130,95,110,2,F,B
197,Umbreon,Dark,,525,95,65,110,60,130,65,2,F,B
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,F,B
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,F,B
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,F,B
232,Donphan,Ground,,500,90,120,120,60,60,50,2,F,B
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,F,B
242,Blissey,Normal,,540,255,10,10,75,135,55,2,F,B
244,Entei,Fire,,580,115,115,85,90,75,100,2,T,B
245,Suicune,Water,,580,100,75,115,90,115,85,2,T,B
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,T,B
254,Mega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,T,B
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,F,B
260,Mega Swampert,Water,Ground,635,100,150,110,95,110,70,3,T,B
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,F,B
306,Mega Aggron,Steel,,630,70,140,230,60,80,50,3,T,B
319,Mega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,T,B
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,F,B
350,Milotic,Water,,540,95,60,79,100,125,81,3,F,B
359,Mega Absol,Dark,,565,65,150,60,115,60,115,3,T,B
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,F,B
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,F,B
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,F,B
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,F,B
448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,F,B
454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,F,B
473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,F,B
474,Porygon-Z,Normal,,535,85,80,70,135,75,90,4,F,B
488,Cresselia,Psychic,,600,120,70,120,75,130,85,4,F,B
534,Conkeldurr,Fighting,,505,105,140,95,55,65,45,5,F,B
547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,F,B
553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,F,B
579,Reuniclus,Psychic,,490,110,65,75,125,85,30,5,F,B
596,Galvantula,Bug,Electric,472,70,77,60,97,60,108,5,F,B
609,Chandelure,Ghost,Fire,520,60,55,90,145,90,80,5,F,B
612,Haxorus,Dragon,,540,76,147,90,60,70,97,5,F,B
620,Mienshao,Fighting,,510,65,125,60,95,60,105,5,F,B
630,Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,5,F,B
635,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,F,B
638,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,T,B
652,Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,6,F,B
671,Florges,Fairy,,552,78,65,68,112,154,75,6,F,B
680,Doublade,Steel,Ghost,448,59,110,150,45,49,35,6,F,B
695,Heliolisk,Electric,Normal,481,62,55,52,109,94,109,6,F,B
700,Sylveon,Fairy,,525,95,65,65,110,130,60,6,F,B
706,Goodra,Dragon,,600,90,100,70,110,150,80,6,F,B
707,Klefki,Steel,Fairy,470,57,80,91,80,87,75,6,F,B
555,Darmanitan,Fire,,480,105,140,55,30,55,95,5,F,B
479,Rotom-H,Electric,Fire,520,50,65,107,105,107,86,4,F,B
641,Tornadus,Flying,,580,79,115,70,125,80,111,5,T,B
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,F,B
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,T,B
208,Mega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,T,B
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,F,B
229,Mega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,T,B
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,F,B
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,F,B
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,F,B
430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,F,B
460,Mega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,T,B
469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,F,B
478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,F,B
571,Zoroark,Dark,,510,60,105,60,120,60,105,5,F,B
632,Durant,Bug,Steel,484,58,109,112,48,48,109,5,F,B
646,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,T,B
675,Pangoro,Fighting,Dark,495,95,124,78,69,71,58,6,F,B
685,Slurpuff,Fairy,,480,82,80,86,85,75,72,6,F,B
691,Dragalge,Poison,Dragon,494,65,75,90,97,123,44,6,F,B
697,Tyrantrum,Rock,Dragon,521,82,121,119,69,59,71,6,F,B
715,Noivern,Flying,Dragon,535,85,70,80,97,80,123,6,F,B
492,Shaymin,Grass,,600,100,100,100,100,100,100,4,T,B
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,F,C
9,Blastoise,Water,,530,79,83,100,85,105,78,1,F,C
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,F,C
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,F,C
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,F,C
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,F,C
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,F,C
157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,F,C
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,F,C
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,F,C
210,Granbull,Fairy,,450,90,120,75,60,60,45,2,F,C
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,F,C
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,F,C
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,F,C
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,F,C
295,Exploud,Normal,,490,104,91,63,91,73,68,3,F,C
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,F,C
323,Mega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,T,C
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,F,C
354,Mega Banette,Ghost,,555,64,165,75,93,83,75,3,T,C
359,Absol,Dark,,465,65,130,60,75,60,75,3,F,C
362,Mega Glalie,Ice,,580,80,120,80,120,80,100,3,T,C
379,Registeel,Steel,,580,80,75,150,75,150,50,3,T,C
424,Ambipom,Normal,,482,75,100,66,60,66,115,4,F,C
437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,F,C
442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,F,C
452,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,F,C
464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,F,C
475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,F,C
480,Uxie,Psychic,,580,75,75,130,75,130,95,4,T,C
500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,F,C
537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,F,C
539,Sawk,Fighting,,465,75,125,75,30,75,85,5,F,C
560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,F,C
561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,F,C
563,Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,F,C
573,Cinccino,Normal,,470,75,95,60,65,60,115,5,F,C
589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,F,C
593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,F,C
594,Alomomola,Water,,470,165,75,80,40,45,65,5,F,C
604,Eelektross,Electric,,515,85,115,80,105,80,50,5,F,C
617,Accelgor,Bug,,495,80,70,40,100,60,145,5,F,C
621,Druddigon,Dragon,,485,77,120,90,60,90,48,5,F,C
628,Braviary,Normal,Flying,510,100,123,75,57,75,80,5,F,C
640,Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,T,C
655,Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,F,C
662,Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,F,C
683,Aromatisse,Fairy,,462,101,72,72,99,89,29,6,F,C
693,Clawitzer,Water,,500,71,73,88,120,89,59,6,F,C
719,Diancie,Rock,Fairy,600,50,100,150,100,150,50,6,T,C
720,Hoopa,Psychic,Ghost,600,80,110,60,150,130,70,6,T,C
479,Meloetta,Electric,Grass,520,50,65,107,105,107,86,4,T,C
648,Meloetta-P,Normal,Psychic,600,100,77,77,128,128,90,5,T,C
648,Rotom-C,Normal,Fighting,600,100,128,90,77,77,128,5,F,C
254,Sceptile,Grass,,530,70,85,65,105,85,120,3,F,C
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,F,D
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,F,D
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,F,D
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,F,D
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,F,D
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,F,D
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,F,D
110,Weezing,Poison,,490,65,90,120,85,70,60,1,F,D
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,F,D
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,F,D
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,F,D
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,F,D
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,F,D
128,Tauros,Normal,,490,75,100,95,40,70,110,1,F,D
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,F,D
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,F,D
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,F,D
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,F,D
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,F,D
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,F,D
226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,F,D
241,Miltank,Normal,,490,95,80,105,40,70,100,2,F,D
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,F,D
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,F,D
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,F,D
297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,F,D
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,F,D
310,Manectric,Electric,,475,70,75,60,105,60,105,3,F,D
335,Zangoose,Normal,,458,73,115,60,60,60,90,3,F,D
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,F,D
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,F,D
352,Kecleon,Normal,,440,60,90,70,60,120,40,3,F,D
377,Regirock,Rock,,580,80,100,200,50,100,50,3,T,D
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,F,D
423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,F,D
429,Mismagius,Ghost,,495,60,60,60,105,105,105,4,F,D
435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,F,D
460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,F,D
466,Electivire,Electric,,540,75,123,67,95,85,95,4,F,D
467,Magmortar,Fire,,540,75,95,67,125,95,83,4,F,D
481,Mesprit,Psychic,,580,80,105,105,105,105,80,4,T,D
503,Samurott,Water,,528,95,100,85,108,70,70,5,F,D
510,Liepard,Dark,,446,64,88,50,88,50,106,5,F,D
531,Mega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,T,D
533,Gurdurr,Fighting,,405,85,105,85,40,50,40,5,F,D
549,Lilligant,Grass,,480,70,60,75,110,75,90,5,F,D
567,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,F,D
569,Garbodor,Poison,,474,80,95,82,60,82,75,5,F,D
597,Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,F,D
601,Klinklang,Steel,,520,60,100,115,70,85,90,5,F,D
623,Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,F,D
666,Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,F,D
668,Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,F,D
687,Malamar,Dark,Psychic,482,86,92,88,68,75,73,6,F,D
689,Barbaracle,Rock,Water,500,72,105,115,54,86,68,6,F,D
699,Aurorus,Rock,Ice,521,123,77,72,99,92,58,6,F,D
479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,4,F,D
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,F,D
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,F,D
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,F,D
264,Linoone,Normal,,420,78,70,61,50,61,100,3,F,D
288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,F,D
518,Musharna,Psychic,,487,116,55,85,107,95,29,5,F,D
538,Throh,Fighting,,465,120,100,85,30,85,45,5,F,D
565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,F,D
8,Wartortle,Water,,405,59,63,80,65,80,58,1,F,F
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,F,F
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,F,F
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,F,F
20,Raticate,Normal,,413,55,81,60,50,70,97,1,F,F
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,F,F
24,Arbok,Poison,,438,60,85,69,65,79,80,1,F,F
26,Raichu,Electric,,485,60,90,55,90,80,110,1,F,F
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,F,F
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,F,F
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,F,F
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,F,F
53,Persian,Normal,,440,65,70,60,65,65,115,1,F,F
55,Golduck,Water,,500,80,82,78,95,80,85,1,F,F
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,F,F
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,F,F
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,F,F
83,Frfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,F,F
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,F,F
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,F,F
89,Muk,Poison,,500,105,105,75,65,100,50,1,F,F
97,Hypno,Psychic,,483,85,73,70,73,115,67,1,F,F
99,Kingler,Water,,475,55,130,115,50,50,75,1,F,F
101,Electrode,Electric,,480,60,50,70,80,80,140,1,F,F
105,Marowak,Ground,,425,60,80,110,50,80,45,1,F,F
114,Tangela,Grass,,435,65,55,115,100,40,60,1,F,F
119,Seaking,Water,,450,80,92,65,65,80,68,1,F,F
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,F,F
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,F,F
132,Ditto,Normal,,288,48,48,48,48,48,48,1,F,F
136,Flareon,Fire,,525,65,130,60,95,110,65,1,F,F
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,T,F
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,F,F
154,Meganium,Grass,,525,80,82,100,83,100,80,2,T,F
162,Furret,Normal,,415,85,76,64,45,55,90,2,F,F
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,F,F
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,F,F
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,F,F
181,Ampharos,Electric,,510,90,75,85,115,90,55,2,F,F
182,Bellossom,Grass,,490,75,80,95,90,100,50,2,F,F
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,F,F
186,Politoed,Water,,500,90,75,75,90,100,70,2,F,F
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,F,F
192,Sunflora,Grass,,425,75,75,55,105,85,30,2,F,F
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,F,F
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,F,F
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,F,F
201,Unown,Psychic,,336,48,72,48,72,48,48,2,F,F
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,F,F
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,F,F
206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,F,F
217,Ursaring,Normal,,500,90,130,75,75,75,55,2,F,F
219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,F,F
222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,F,F
224,Octillery,Water,,480,75,105,75,105,75,45,2,F,F
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,F,F
234,Stantler,Normal,,465,73,95,62,85,65,85,2,F,F
235,Smeargle,Normal,,250,55,20,35,20,45,75,2,F,F
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,F,F
262,Mightyena,Dark,,420,70,90,70,60,60,70,3,F,F
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,F,F
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,F,F
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,F,F
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,F,F
289,Slaking,Normal,,670,150,160,100,95,65,100,3,F,F
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,F,F
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,F,F
301,Delcatty,Normal,,380,70,65,65,55,55,70,3,F,F
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,F,F
311,Plusle,Electric,,405,60,50,40,85,75,95,3,F,F
